,חדרים,קומה,"מ""ר",מצב הנכס,קומות בבנין,מרפסות,חניות,סוג נכס,שכונה,עיר,תיווך,מיזוג,סורגים,מעלית,מטבח כשר,דוד שמש,גישה לנכים,"ממ""ד",משופצת,מחסן,מזגן תדיראן,ריהוט,גמיש,מחיר
934,7,קרקע,290,משופץ,,3,2,בית פרטי/קוטג', פרדס הגדוד, נתניה,,1,1,0,1,1,0,1,1,1,0,0,0,"3,450,000 ₪"
935,6,קרקע,300,במצב שמור,,1,1,דו משפחתי ,,נתניה,0,1,0,0,,0,1,0,0,0,0,0,0,"3,350,000 ₪"
936,4,14,114,חדש,17,1,1,דירה, רמת חן ובן ציון, נתניה,1,0,0,1,,0,1,1,0,0,0,0,0,"2,450,000 ₪"
937,6,4,159,חדש,4,,2,גג/פנטהאוז, רמת חן ובן ציון, נתניה,0,1,1,1,,1,1,1,1,1,1,0,0,"3,850,000 ₪"
938,4.5,9,130,משופץ,12,,1,דירה, נתניה, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"3,300,000 ₪"
939,2,4,50,חדש,7,1,1,דירה, צפון מזרח מרכז העיר, נתניה,0,1,1,1,,1,0,1,0,0,0,0,0,"1,300,000 ₪"
940,3,3,75,משופץ,4,,ללא,דירה, צפון מזרח מרכז העיר, נתניה,0,1,0,0,,1,0,0,1,0,1,0,0,"1,350,000 ₪"
941,4,2,90,במצב שמור,4,,1,דירה, צפון מערב מרכז העיר, נתניה,0,1,0,1,,1,0,0,0,0,0,0,0,"1,750,000 ₪"
942,4,4,109,חדש,10,1,2,דירה, אגמים, נתניה,0,1,1,1,,1,1,1,1,1,1,1,1,"2,700,000 ₪"
943,7,15,285,משופץ,30,1,3,גג/פנטהאוז, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"7,950,000 ₪"
944,3,4,57,משופץ,4,,ללא,דירה, רמת ידין, נתניה,0,1,1,0,,1,0,0,1,0,1,0,0,"1,250,000 ₪"
945,4,4,115,משופץ,9,,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,1,1,0,1,0,1,0,0,"2,300,000 ₪"
946,4,3,180,דרוש שיפוץ,3,1,1,דופלקס, נתניה, נתניה,0,1,0,0,,0,0,0,0,0,0,0,0,"1,650,000 ₪"
947,5,2,120,במצב שמור,8,1,1,דירה, מרכז העיר דרום, נתניה,0,1,1,1,,1,1,1,0,0,1,0,0,"2,550,000 ₪"
948,3,6,70,במצב שמור,6,,ללא,דירה, נאות גנים, נתניה,1,1,1,1,,0,0,0,0,0,0,0,0,"1,430,000 ₪"
949,4,4,106,משופץ,12,1,1,דירה, נתניה, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"2,700,000 ₪"
950,4,1,115,משופץ,6,,ללא,דירה, נתניה, נתניה,1,1,0,1,,0,0,0,0,0,0,0,0,"1,690,000 ₪"
951,4,1,120,חדש,9,1,1,דירה, גלי הים, נתניה,0,1,0,1,,0,1,1,1,0,0,0,0,"2,490,000 ₪"
952,3,5,90,במצב שמור,7,,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,1,0,0,0,0,0,0,0,"2,200,000 ₪"
953,4,1,100,משופץ,6,,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,1,1,0,1,0,0,1,1,"2,000,000 ₪"
954,5,9,170,משופץ,9,2,2,גג/פנטהאוז, אגמים, נתניה,0,1,0,1,,0,1,1,0,1,1,1,1,"3,550,000 ₪"
955,4,21,150,חדש,24,1,2,גג/פנטהאוז, נתניה, נתניה,0,1,0,1,,0,0,1,0,0,0,0,0,"6,000,000 ₪"
956,6,קרקע,160,משופץ,,1,ללא,דו משפחתי, רמת אפרים, נתניה,0,1,0,0,,1,0,0,1,0,0,0,0,"2,800,000 ₪"
957,4,1,80,משופץ,8,,ללא,דירה, קרית נורדאו, נתניה,,1,1,1,0,1,1,0,1,0,1,1,1,"1,630,000 ₪"
958,5,6,136,חדש מקבלן,7,1,ללא,דירה, מרכז העיר דרום, נתניה,,0,0,1,1,1,0,1,0,0,0,0,0,"2,600,000 ₪"
959,8,קרקע,1500,במצב שמור,,3,3,בית פרטי/קוטג', עין התכלת, נתניה,,1,0,0,0,1,0,1,0,1,0,1,1,"20,000,000 ₪"
960,3,5,72,במצב שמור,5,,ללא,דירה, צפון מזרח מרכז העיר, נתניה,,1,0,1,0,0,0,0,0,0,0,0,0,"1,300,000 ₪"
961,7,קרקע,290,משופץ,,3,2,בית פרטי/קוטג', פרדס הגדוד, נתניה,,1,1,0,1,1,0,1,1,1,0,0,0,"3,450,000 ₪"
962,2.5,קרקע,550,במצב שמור,,1,2,דו משפחתי, נאות גנים, נתניה,,1,0,0,0,0,0,0,0,0,0,0,0,"4,200,000 ₪"
963,4,7,248,חדש מקבלן,7,1,1,גג/פנטהאוז, מרכז העיר דרום, נתניה,,0,0,1,0,1,1,1,0,0,0,0,0,"2,880,000 ₪"
964,5.5,8,197,חדש,8,3,2,טריפלקס, צפון מערב מרכז העיר, נתניה,,1,0,1,1,1,1,1,1,1,1,0,0,"6,500,000 ₪"
965,5,7,145,במצב שמור,7,,1,דירה, צפון מערב מרכז העיר, נתניה,,1,0,1,0,1,0,0,0,0,0,0,0,"2,350,000 ₪"
966,3,1,70,משופץ,3,,ללא,דירה, צפון מערב מרכז העיר, נתניה,,0,0,0,0,0,0,0,1,0,1,0,0,"1,950,000 ₪"
967,4,1,115,משופץ,3,1,1,דירה, משכנות זבולון, נתניה,,1,1,1,1,1,0,1,1,1,1,0,0,"2,300,000 ₪"
968,4,2,90,במצב שמור,3,,ללא,דירה, קרית רבין, נתניה,,1,0,0,0,1,0,1,0,0,0,0,0,"1,890,000 ₪"
969,4,15,154,במצב שמור,18,1,2,דירה, עיר ימים, נתניה,,1,0,1,1,0,1,1,0,0,1,0,0,"5,200,000 ₪"
970,5,2,127,במצב שמור,9,1,2,דירה, רמת חן ובן ציון, נתניה,,1,0,1,1,1,1,1,0,1,1,1,1,"2,600,000 ₪"
971,5,9,146,חדש,20,1,2,דירה, עיר ימים, נתניה,,1,1,1,0,0,1,1,1,1,1,1,1,"6,000,050 ₪"
972,4.5,9,130,משופץ,11,,2,דירה, צפון מערב מרכז העיר, נתניה,,1,0,1,0,1,0,1,0,1,0,0,0,"3,300,000 ₪"
973,3,1,120,במצב שמור,3,3,ללא,דירה, מרכז העיר דרום, נתניה,,1,1,1,0,1,0,1,0,1,0,1,1,"2,000,000 ₪"
974,5,קרקע,350,משופץ,,2,1,בית פרטי/קוטג', רמת אפרים, נתניה,,1,0,0,1,1,1,1,1,1,1,0,0,"4,800,000 ₪"
975,3.5,קרקע,96,משופץ,9,,1,דירת גן ,,נתניה,1,1,0,1,,0,1,1,1,0,0,0,0,"3,100,000 ₪"
976,6,9,280,חדש מקבלן,9,3,3,גג/פנטהאוז, נתניה, נתניה,0,1,0,1,,1,1,1,1,1,1,1,1,"6,800,000 ₪"
977,5,2,136,חדש,11,1,1,דירה, נוף הטיילת, נתניה,0,1,0,1,,0,1,1,1,0,0,0,0,"3,500,000 ₪"
978,7,קרקע,420,במצב שמור,,2,3,בית פרטי/קוטג', צפון מזרח מרכז העיר, נתניה,1,1,1,0,,1,0,1,0,1,0,0,0,"5,200,000 ₪"
979,4,18,123,משופץ,20,1,2,דירה, נתניה, נתניה,0,1,0,1,,0,0,1,1,0,1,1,1,"3,050,000 ₪"
980,5.5,5,125,במצב שמור,7,1,1,דירה, גלי הים, נתניה,1,1,0,1,,1,1,1,0,0,0,0,0,"2,490,000 ₪"
981,5,1,120,משופץ,3,1,1,דירה, גבעת האירוסים, נתניה,0,1,1,0,,1,0,0,1,0,0,0,0,"2,360,000 ₪"
982,5,20,155,חדש,26,1,2,דירה, אגמים, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"3,650,000 ₪"
983,5,1,156,משופץ,12,1,2,דירה, גלי הים, נתניה,1,1,0,1,,1,1,1,1,0,1,0,0,"3,450,000 ₪"
984,4,4,100,משופץ,5,1,1,דירה, גבעת האירוסים, נתניה,0,1,1,1,,1,1,0,1,0,1,1,1,"2,350,000 ₪"
985,5,10,142,חדש מקבלן,27,1,2,דירה, גלי הים, נתניה,0,1,0,1,,0,1,1,0,1,1,0,0,לא צוין מחיר
986,5,5,145,חדש,22,1,2,דירה, עיר ימים, נתניה,0,1,0,1,,1,1,1,1,1,1,1,1,"4,100,000 ₪"
987,5.5,8,177,במצב שמור,9,1,1,גג/פנטהאוז, נתניה, נתניה,0,1,0,1,,1,1,0,0,1,1,0,0,"2,900,000 ₪"
988,5,2,143,חדש,22,,2,דירה, נתניה, נתניה,0,1,0,1,,0,1,0,0,0,0,0,0,"5,280,000 ₪"
989,6,14,227,משופץ,18,1,3,דירה, עיר ימים, נתניה,1,1,0,1,,1,1,1,0,1,0,1,1,"11,690,000 ₪"
990,6,10,280,משופץ,13,2,3,גג/פנטהאוז, מרכז העיר דרום, נתניה,0,1,0,1,,1,1,1,1,0,1,1,1,"13,900,000 ₪"
991,5,4,118,משופץ,5,1,1,דירה, צפון מערב מרכז העיר, נתניה,1,1,1,1,,1,0,0,1,0,0,0,0,"2,290,000 ₪"
992,5,5,130,משופץ,6,1,2,דופלקס, קרית השרון, נתניה,1,1,0,1,,1,0,1,1,1,0,0,0,"2,990,000 ₪"
993,4,4,121,חדש מקבלן,31,1,1,דירה, כוכב הים, נתניה,0,1,0,0,,1,1,1,1,1,1,0,0,"3,410,000 ₪"
994,5,10,145,חדש,17,1,1,דירה, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,1,1,1,"4,250,000 ₪"
995,4,3,110,משופץ,8,1,1,דירה, קרית השרון, נתניה,0,1,1,1,,1,1,1,1,0,1,1,1,"2,490,000 ₪"
996,4,21,150,חדש,23,1,2,גג/פנטהאוז, גלי הים, נתניה,0,1,1,1,,1,1,1,1,1,1,1,1,"6,000,000 ₪"
997,5,5,140,במצב שמור,8,2,1,דירה, צפון מערב מרכז העיר, נתניה,,1,1,1,0,1,1,1,0,0,0,0,0,"3,050,000 ₪"
998,7,קרקע,2000,במצב שמור,,,ללא,בית פרטי/קוטג', נווה איתמר, נתניה,,0,0,0,0,0,0,0,0,0,0,0,0,"12,000,000 ₪"
999,2.5,קרקע,45,במצב שמור,,,2,יחידת דיור, רמת אפרים, נתניה,,1,0,1,0,0,1,0,0,1,0,0,0,"980,000 ₪"
1000,4,9,98,משופץ,9,1,1,דירה, רמת חן ובן ציון, נתניה,,1,1,1,0,1,1,1,1,1,0,0,0,"2,000,000 ₪"
1001,3.5,1,70,במצב שמור,2,1,ללא,דירה, רמת אפרים, נתניה,,1,0,0,1,1,1,0,0,1,0,0,0,"1,850,000 ₪"
1002,5.5,2,100,משופץ,3,,ללא,דירה, מרכז העיר דרום, נתניה,,1,0,0,0,1,0,0,1,1,0,0,0,"2,800,000 ₪"
1003,3.5,2,60,במצב שמור,3,,ללא,דירה, קרית נורדאו, נתניה,,1,0,0,0,1,0,0,0,0,0,0,0,"1,340,000 ₪"
1004,3,3,62,במצב שמור,3,,ללא,דירה, רמת ידין, נתניה,,1,0,0,0,1,0,0,1,0,0,0,0,"1,240,000 ₪"
1005,3,6,90,משופץ,6,,1,דירה, צפון מזרח מרכז העיר, נתניה,,1,0,1,0,1,0,0,1,0,0,0,0,"1,500,000 ₪"
1006,3,1,57,משופץ,4,,ללא,דירה, נאות שקד, נתניה,,0,0,0,0,0,0,0,1,0,0,0,0,"1,300,000 ₪"
1007,3,1,55,במצב שמור,3,,ללא,דירה, נאות הרצל, נתניה,,0,0,0,0,0,0,0,0,0,0,0,0,"1,350,000 ₪"
1008,4.5,2,150,במצב שמור,9,,1,דירה, מרכז העיר דרום, נתניה,,1,0,1,1,1,1,1,0,0,0,0,0,"2,350,000 ₪"
1009,5,1,135,משופץ,8,2,1,דירה, רמת פולג, נתניה,,1,1,1,1,1,0,0,1,0,0,0,0,"3,000,000 ₪"
1010,3,1,58,משופץ,3,,ללא,דירה, צפון מערב מרכז העיר, נתניה,,1,0,0,1,1,0,0,1,1,1,0,0,"1,900,000 ₪"
1011,5,3,110,משופץ,5,,1,דירה, צפון מערב מרכז העיר, נתניה,,1,1,1,1,1,1,0,1,1,1,1,1,"2,220,000 ₪"
1012,6,קרקע,300,במצב שמור,,2,2,בית פרטי/קוטג', נוף הטיילת, נתניה,,1,0,0,1,1,0,1,0,0,0,0,0,"4,700,000 ₪"
1013,4,6,110,משופץ,6,,1,דירה, צפון מערב מרכז העיר, נתניה,,0,0,0,0,1,0,0,1,0,0,0,0,"2,400,000 ₪"
1014,2.5,1,80,משופץ,5,,ללא,דירה, מרכז העיר דרום, נתניה,,1,0,0,1,1,0,0,1,0,0,0,0,"1,780,000 ₪"
1015,3.5,קרקע,96,משופץ,9,,1,דירת גן ,,נתניה,1,1,0,1,,0,1,1,1,0,0,0,0,"3,100,000 ₪"
1016,5,5,130,משופץ,6,1,2,דופלקס, קרית השרון, נתניה,1,1,0,1,,1,0,1,1,1,0,0,0,"2,990,000 ₪"
1017,4,4,121,חדש מקבלן,31,1,1,דירה, כוכב הים, נתניה,0,1,0,0,,1,1,1,1,1,1,0,0,"3,410,000 ₪"
1018,3,3,75,משופץ,4,,ללא,דירה, צפון מזרח מרכז העיר, נתניה,0,1,0,0,,1,0,0,1,0,1,0,0,"1,350,000 ₪"
1019,2,4,50,חדש,7,1,1,דירה, צפון מזרח מרכז העיר, נתניה,0,1,1,1,,1,0,1,0,0,0,0,0,"1,300,000 ₪"
1020,4,2,90,במצב שמור,4,,1,דירה, צפון מערב מרכז העיר, נתניה,0,1,0,1,,1,0,0,0,0,0,0,0,"1,750,000 ₪"
1021,4,17,128,חדש,24,1,2,דירה, עיר ימים, נתניה,1,1,1,1,,1,1,1,1,1,1,1,1,"4,850,000 ₪"
1022,5,2,115,משופץ,6,,2,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,1,1,0,1,0,1,0,0,"2,250,000 ₪"
1023,5,13,165,משופץ,14,2,2,גג/פנטהאוז, נתניה, נתניה,0,1,0,1,,0,1,1,1,1,0,1,1,"4,600,000 ₪"
1024,5,11,156,משופץ,19,1,2,דירה, נתניה, נתניה,0,1,0,1,,0,1,1,1,0,1,0,0,"3,850,000 ₪"
1025,4,1,80,במצב שמור,4,,ללא,דירה, נתניה, נתניה,0,1,1,1,,1,1,1,1,1,1,1,1,"1,620,000 ₪"
1026,4,9,98,משופץ,9,1,1,דירה, רמת חן ובן ציון, נתניה,0,1,0,1,,1,1,1,1,0,1,1,1,"2,090,000 ₪"
1027,4,4,92,משופץ,8,,1,דירה, נתניה, נתניה,0,1,0,1,,1,1,0,1,0,1,0,0,"1,850,000 ₪"
1028,4,3,110,במצב שמור,8,2,1,דירה, קרית השרון, נתניה,0,1,1,1,,1,1,1,1,1,1,0,0,"2,580,000 ₪"
1029,5,10,136,חדש מקבלן,29,1,2,דירה, נתניה, נתניה,0,1,0,1,,0,1,1,0,0,0,0,0,"3,500,000 ₪"
1030,5,2,130,משופץ,8,1,2,דירה, קרית השרון, נתניה,1,1,0,1,,1,1,1,1,1,1,1,1,"3,090,000 ₪"
1031,4,2,120,משופץ,15,1,2,דירה, נאות גנים, נתניה,0,1,0,1,,1,1,1,1,0,1,0,0,"2,450,000 ₪"
1032,5,13,165,משופץ,14,2,2,גג/פנטהאוז, נוף הטיילת, נתניה,0,1,0,1,,0,0,1,0,1,0,1,1,לא צוין מחיר
1033,7,קרקע,308,משופץ,,1,1,דו משפחתי, נתניה, נתניה,0,1,1,0,,1,0,1,1,1,1,1,1,"4,500,000 ₪"
1034,5,17,220,חדש,17,2,2,גג/פנטהאוז, גלי הים, נתניה,0,1,0,1,,1,1,1,1,1,1,1,1,"11,500,000 ₪"
1035,7,קרקע,600,דרוש שיפוץ,,,3,בית פרטי/קוטג', נאות גנים, נתניה,0,0,0,0,,0,1,0,0,0,0,0,0,"3,700,000 ₪"
1036,4,13,120,חדש,26,1,1,דירה, רמת חן ובן ציון, נתניה,0,1,0,1,,0,1,1,1,1,1,0,0,"2,570,000 ₪"
1037,,,,,,,,,,,,,,,,,,,,,,,,
1038,4,2,120,משופץ,15,1,2,דירה, נאות גנים, נתניה,0,1,0,1,,1,1,1,1,0,1,0,0,"2,450,000 ₪"
1039,5,13,165,משופץ,14,2,2,גג/פנטהאוז, נוף הטיילת, נתניה,0,1,0,1,,0,0,1,0,1,0,1,1,לא צוין מחיר
1040,5,4,131,חדש,10,1,2,דירה, נתניה, נתניה,0,1,0,1,,1,0,0,1,0,1,0,0,"3,050,000 ₪"
1041,5,12,147,משופץ,24,1,2,דירה, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"4,200,000 ₪"
1042,4,קרקע,117,משופץ,,,ללא,בית פרטי/קוטג', נאות הרצל, נתניה,1,1,0,0,,1,1,0,1,0,0,0,0,"2,600,000 ₪"
1043,5,5,130,במצב שמור,9,2,1,דירה, רמת פולג, נתניה,0,1,0,1,,1,1,0,0,0,1,0,0,"2,680,000 ₪"
1044,4,1,76,משופץ,4,,ללא,דירה, רמת ידין, נתניה,0,1,1,0,,0,0,0,0,0,0,1,1,"1,235,000 ₪"
1045,5,9,115,חדש,12,1,2,דירה, צפון מערב מרכז העיר, נתניה,0,0,0,0,,0,0,0,0,0,0,0,0,"2,880,000 ₪"
1046,5,12,160,משופץ,12,1,1,דירה, רמת חן ובן ציון, נתניה,0,0,0,0,,0,0,0,0,0,0,0,0,"4,200,000 ₪"
1047,4,3,110,חדש,9,1,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,0,1,1,0,0,1,0,0,"2,600,000 ₪"
1048,5,3,155,משופץ,8,1,1,דירה, קרית השרון, נתניה,0,1,1,1,,1,0,1,1,1,1,1,1,"3,195,000 ₪"
1049,6,קרקע,350,חדש,,2,2,בית פרטי/קוטג', נוף הטיילת, נתניה,0,1,1,0,,1,1,1,1,1,1,0,0,"8,900,000 ₪"
1050,4,1,84,משופץ,4,,ללא,דירה, נאות שקד, נתניה,0,1,1,0,,0,0,0,1,0,1,0,0,"1,450,000 ₪"
1051,4,קרקע,190,חדש,6,,1,דירת גן, נתניה, נתניה,0,1,0,1,,1,0,0,1,0,0,0,0,"3,050,000 ₪"
1052,4,7,100,חדש מקבלן,30,1,1,דירה, נוף הטיילת, נתניה,0,1,0,1,,1,1,1,0,1,0,0,0,"2,730,000 ₪"
1053,4,1,82,משופץ,4,,ללא,דירה, נאות שקד, נתניה,0,1,1,0,,0,0,0,1,0,1,0,0,"1,420,000 ₪"
1054,12,קרקע,700,משופץ,,3,3,בית פרטי/קוטג', נתניה, נתניה,0,1,0,0,,1,1,1,1,1,0,0,0,"11,000,000 ₪"
1055,,,,משופץ,9,1,1,,,,0,1,1,1,,1,1,1,1,1,1,0,0,
1056,3,2,90,משופץ,3,,ללא,דירה, צפון מערב מרכז העיר, נתניה,0,1,0,0,,1,0,0,1,0,0,0,0,"1,600,000 ₪"
1057,5,1,131,משופץ,9,1,1,דירה, נתניה, נתניה,0,1,0,1,,0,1,1,1,0,0,0,0,"2,320,000 ₪"
1058,5,4,127,במצב שמור,16,1,1,דירה, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"3,650,000 ₪"
1059,6,קרקע,340,משופץ,,1,2,בית פרטי/קוטג', רמת פולג, נתניה,0,1,1,0,,1,1,1,1,1,1,0,0,"5,990,000 ₪"
1060,3,6,103,במצב שמור,8,,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,1,0,1,0,0,0,0,0,"2,500,000 ₪"
1061,5,14,150,משופץ,14,1,2,גג/פנטהאוז, מרכז העיר דרום, נתניה,0,1,0,1,,0,1,1,1,0,0,0,0,"3,650,000 ₪"
1062,4,13,122,במצב שמור,14,2,2,דירה, גלי הים, נתניה,0,1,0,1,,1,1,1,0,1,0,0,0,"3,590,000 ₪"
1063,3,1,50,משופץ,7,,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,0,0,0,1,0,0,0,0,"1,050,000 ₪"
1064,6,קרקע,190,במצב שמור,,,1,דו משפחתי, פרדס הגדוד, נתניה,0,1,1,0,,1,1,1,0,1,0,0,0,"3,850,000 ₪"
1065,5,12,143,חדש מקבלן,31,1,2,דירה, כוכב הים, נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"3,830,000 ₪"
1066,3,4,70,משופץ,4,,ללא,דירה, צפון מערב מרכז העיר, נתניה,0,1,0,0,,1,0,0,1,0,1,0,0,"1,450,000 ₪"
1067,3,6,95,משופץ,7,,1,דירה, צפון מערב מרכז העיר, נתניה,1,1,0,1,,1,0,0,1,0,1,1,1,"1,850,000 ₪"
1068,5,קרקע,500,במצב שמור,,1,1,בית פרטי/קוטג', נאות גנים, נתניה,0,1,1,0,,1,1,0,1,1,1,0,0,"3,390,000 ₪"
1069,5,10,148,חדש,26,1,2,דירה, עיר ימים, נתניה,0,1,0,0,,0,0,0,0,0,0,0,0,"4,150,000 ₪"
1070,7,קרקע,700,משופץ,,1,2,בית פרטי/קוטג', נווה איתמר, נתניה,0,1,0,0,,1,1,1,1,1,1,0,0,"7,000,000 ₪"
1071,5,17,165,חדש מקבלן,33,,ללא,דירה, עיר ימים, נתניה,0,1,1,1,,0,1,1,1,1,1,0,0,"8,500,000 ₪"
1072,7,קרקע,176,משופץ,6,,2,דירת גן, אגמים, נתניה,1,1,0,1,,1,1,1,1,1,0,0,0,"4,090,000 ₪"
1073,4,קרקע,75,משופץ,4,,ללא,דירה, נתניה, נתניה,0,1,1,0,,0,0,0,0,0,1,0,0,"1,050,000 ₪"
1074,5,2,126,חדש,17,1,2,דירה, אגמים, נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"3,220,000 ₪"
1075,6,9,230,משופץ,9,3,2,גג/פנטהאוז, נתניה, נתניה,0,1,1,1,,1,1,1,1,1,0,0,0,לא צוין מחיר
1076,4,5,85,משופץ,8,,ללא,דירה, קרית נורדאו, נתניה,1,1,0,1,,1,1,0,1,0,1,1,1,"1,580,000 ₪"
1077,,,,,,,,,,,,,,,,,,,,,,,,
1078,3,2,90,חדש מקבלן,7,1,1,דירה, צפון מזרח מרכז העיר, נתניה,0,1,0,1,,0,1,1,0,0,1,0,0,"2,200,000 ₪"
1079,5,5,140,משופץ,22,1,2,דירה, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,1,0,0,"4,250,000 ₪"
1080,4.5,10,125,משופץ,17,1,2,דירה, נתניה, נתניה,0,1,1,1,,0,1,1,1,0,0,0,0,"3,400,000 ₪"
1081,4,2,120,משופץ,7,,1,דירה, צפון מערב מרכז העיר, נתניה,0,1,1,1,,1,0,0,1,0,0,1,1,"2,800,000 ₪"
1082,5,4,131,חדש,10,1,2,דירה, נתניה, נתניה,0,1,0,1,,1,0,0,1,0,1,0,0,"3,050,000 ₪"
1083,5,12,147,משופץ,24,1,2,דירה, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"4,200,000 ₪"
1084,4,קרקע,117,משופץ,,,ללא,בית פרטי/קוטג', נאות הרצל, נתניה,1,1,0,0,,1,1,0,1,0,0,0,0,"2,600,000 ₪"
1085,5,5,130,במצב שמור,9,2,1,דירה, רמת פולג, נתניה,0,1,0,1,,1,1,0,0,0,1,0,0,"2,680,000 ₪"
1086,4,1,76,משופץ,4,,ללא,דירה, רמת ידין, נתניה,0,1,1,0,,0,0,0,0,0,0,1,1,"1,235,000 ₪"
1087,5,9,115,חדש,12,1,2,דירה, צפון מערב מרכז העיר, נתניה,0,0,0,0,,0,0,0,0,0,0,0,0,"2,880,000 ₪"
1088,5,12,160,משופץ,12,1,1,דירה, רמת חן ובן ציון, נתניה,0,0,0,0,,0,0,0,0,0,0,0,0,"4,200,000 ₪"
1089,4,3,110,חדש,9,1,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,0,1,1,0,0,1,0,0,"2,600,000 ₪"
1090,5,3,155,משופץ,8,1,1,דירה, קרית השרון, נתניה,0,1,1,1,,1,0,1,1,1,1,1,1,"3,195,000 ₪"
1091,6,קרקע,350,חדש,,2,2,בית פרטי/קוטג', נוף הטיילת, נתניה,0,1,1,0,,1,1,1,1,1,1,0,0,"8,900,000 ₪"
1092,4,1,84,משופץ,4,,ללא,דירה, נאות שקד, נתניה,0,1,1,0,,0,0,0,1,0,1,0,0,"1,450,000 ₪"
1093,4,קרקע,190,חדש,6,,1,דירת גן, נתניה, נתניה,0,1,0,1,,1,0,0,1,0,0,0,0,"3,050,000 ₪"
1094,4,7,100,חדש מקבלן,30,1,1,דירה, נוף הטיילת, נתניה,0,1,0,1,,1,1,1,0,1,0,0,0,"2,730,000 ₪"
1095,,,,משופץ,4,,ללא,,,,0,1,1,0,,0,0,0,1,0,1,0,0,
1096,12,קרקע,700,משופץ,,3,3,בית פרטי/קוטג', נתניה, נתניה,0,1,0,0,,1,1,1,1,1,0,0,0,"11,000,000 ₪"
1097,5,4,125,משופץ,9,1,1,דירה, רמת פולג, נתניה,0,1,1,1,,1,1,1,1,1,1,0,0,"3,250,000 ₪"
1098,3,2,90,משופץ,3,,ללא,דירה, צפון מערב מרכז העיר, נתניה,0,1,0,0,,1,0,0,1,0,0,0,0,"1,600,000 ₪"
1099,5,1,131,משופץ,9,1,1,דירה, נתניה, נתניה,0,1,0,1,,0,1,1,1,0,0,0,0,"2,320,000 ₪"
1100,5,4,127,במצב שמור,16,1,1,דירה, עיר ימים, נתניה,0,1,0,1,,0,1,1,1,1,0,0,0,"3,650,000 ₪"
1101,6,קרקע,340,משופץ,,1,2,בית פרטי/קוטג', רמת פולג, נתניה,0,1,1,0,,1,1,1,1,1,1,0,0,"5,990,000 ₪"
1102,3,6,103,במצב שמור,8,,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,1,0,1,0,0,0,0,0,"2,500,000 ₪"
1103,5,14,150,משופץ,14,1,2,גג/פנטהאוז, מרכז העיר דרום, נתניה,0,1,0,1,,0,1,1,1,0,0,0,0,"3,650,000 ₪"
1104,4,13,122,במצב שמור,14,2,2,דירה, גלי הים, נתניה,0,1,0,1,,1,1,1,0,1,0,0,0,"3,590,000 ₪"
1105,3,1,50,משופץ,7,,1,דירה, מרכז העיר דרום, נתניה,0,1,0,1,,0,0,0,1,0,0,0,0,"1,050,000 ₪"
1106,6,קרקע,190,במצב שמור,,,1,דו משפחתי, פרדס הגדוד, נתניה,0,1,1,0,,1,1,1,0,1,0,0,0,"3,850,000 ₪"
1107,5,12,143,חדש מקבלן,31,1,2,דירה, כוכב הים, נתניה,0,1,0,1,,1,1,1,1,1,1,0,0,"3,830,000 ₪"
1108,3,4,70,משופץ,4,,ללא,דירה, צפון מערב מרכז העיר, נתניה,0,1,0,0,,1,0,0,1,0,1,0,0,"1,450,000 ₪"
1109,3,6,95,משופץ,7,,1,דירה, צפון מערב מרכז העיר, נתניה,1,1,0,1,,1,0,0,1,0,1,1,1,"1,850,000 ₪"
1110,5,קרקע,500,במצב שמור,,1,1,בית פרטי/קוטג', נאות גנים, נתניה,0,1,1,0,,1,1,0,1,1,1,0,0,"3,390,000 ₪"
1111,5,10,148,חדש,26,1,2,דירה, עיר ימים, נתניה,0,1,0,0,,0,0,0,0,0,0,0,0,"4,150,000 ₪"
1112,7,קרקע,700,משופץ,,1,2,בית פרטי/קוטג', נווה איתמר, נתניה,0,1,0,0,,1,1,1,1,1,1,0,0,"7,000,000 ₪"
1113,5,17,165,חדש מקבלן,33,,ללא,דירה, עיר ימים, נתניה,0,1,1,1,,0,1,1,1,1,1,0,0,"8,500,000 ₪"
1114,4.5,9,116,דרוש שיפוץ,20,1,1,דירה, נתניה, נתניה,0,0,0,0,,0,0,0,1,0,0,0,0,"2,690,000 ₪"
